City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
217,Mandalgovi,MN,45.7625,106.2708,30.04,53,60,9.48,broken clouds
218,Labuhan,ID,-6.8844,112.2051,88.27,58,100,2.28,overcast clouds
219,Amuntai,ID,-2.4177,115.2494,95.45,45,50,1.68,scattered clouds
220,Cap Malheureux,MU,-19.9842,57.6142,82.47,64,2,5.99,clear sky
221,Pontes E Lacerda,BR,-15.2261,-59.3353,70.54,93,90,2.24,overcast clouds
222,Lanzhou,CN,36.0564,103.7922,50.36,30,73,3.51,broken clouds
223,Campbellsville,US,37.3434,-85.3419,42.91,56,0,3.56,clear sky
224,Caravelas,BR,-17.7125,-39.2481,70.86,90,100,1.16,overcast clouds
225,Tommot,RU,58.9564,126.2925,1.92,91,82,3.04,broken clouds
226,Kolosovka,RU,56.4678,73.611,-6.86,93,21,8.41,few clouds
227,Bam,IR,29.106,58.357,62.64,23,0,0.54,clear sky
228,Caiaponia,BR,-16.9567,-51.8103,67.82,91,100,1.59,overcast clouds
229,Chara,RU,56.9064,118.2631,-2.09,78,70,0.58,broken clouds
230,Deputatskiy,RU,69.3,139.9,-32.22,100,98,1.01,overcast clouds
231,Mehamn,NO,71.0357,27.8492,26.55,93,0,11.5,clear sky
232,Kasongo-Lunda,CD,-6.4667,16.8167,67.75,98,96,0.11,overcast clouds
233,Simpang,ID,-1.2667,104.0833,79.38,87,100,0.27,overcast clouds
234,Coihaique,CL,-45.5752,-72.0662,57.15,72,75,5.75,broken clouds
235,Lagoa,PT,39.05,-27.9833,59.7,67,100,12.08,overcast clouds
236,Agapovka,RU,53.2973,59.1348,6.01,97,93,1.7,overcast clouds
237,Lima,PE,-12.0432,-77.0282,66.45,80,0,9.22,clear sky
238,Saint-Philippe,RE,-21.3585,55.7679,80.19,67,44,9.55,scattered clouds
239,Severo-Kurilsk,RU,50.6789,156.125,33.22,69,78,30.06,light snow
240,Santiago De Cao,PE,-7.9589,-79.2392,62.73,88,2,4.61,mist
241,Juegang,CN,32.3174,121.1855,62.98,68,80,8.39,broken clouds
242,Chicama,PE,-7.8447,-79.1469,61.34,80,4,2.84,clear sky
243,Ancud,CL,-41.8697,-73.8203,55.17,99,100,8.16,light rain
244,Coos Bay,US,43.3665,-124.2179,50.99,99,100,0.0,fog
245,Mbandaka,CD,0.0487,18.2603,69.6,95,67,2.82,broken clouds
246,Asfi,MA,32.2994,-9.2372,61.92,82,29,11.5,scattered clouds
247,Urumqi,CN,43.801,87.6005,29.35,93,75,4.47,fog
248,Umm Lajj,SA,25.0213,37.2685,78.55,56,47,7.81,scattered clouds
249,Kieta,PG,-6.2167,155.6333,85.48,63,37,3.6,scattered clouds
250,Dudinka,RU,69.4058,86.1778,-23.39,98,90,5.39,overcast clouds
251,Hays,US,30.0502,-98.0336,51.93,92,90,1.99,overcast clouds
252,Broome,US,42.2506,-75.833,37.17,74,6,3.0,clear sky
253,Nangwa,TZ,-4.4667,35.45,62.06,76,65,6.8,broken clouds
254,Dolores,AR,-36.3132,-57.6792,53.35,77,40,8.03,scattered clouds
255,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,74,75,6.71,light shower snow
256,Harbour Breton,CA,47.4833,-55.7983,31.6,65,59,18.14,broken clouds
257,Lorengau,PG,-2.0226,147.2712,83.34,74,98,8.03,overcast clouds
258,Methoni,GR,36.8197,21.7049,59.22,67,100,21.63,overcast clouds
259,Solnechnyy,RU,50.7214,136.6319,19.92,62,11,4.47,few clouds
260,Fortuna,US,40.5982,-124.1573,54.99,94,75,3.44,broken clouds
261,Laurinburg,US,34.7741,-79.4628,51.46,82,40,0.0,scattered clouds
262,Turukhansk,RU,65.8167,87.9833,-31.05,96,24,4.23,few clouds
263,Warmbad,NA,-28.45,18.7333,67.39,39,0,7.11,clear sky
264,Dakoro,NE,14.5106,6.765,64.04,20,12,10.33,few clouds
265,Port Augusta,AU,-32.5,137.7667,74.7,33,0,8.86,clear sky
266,Kijini,TZ,-5.85,39.3167,76.73,76,10,7.87,clear sky
267,Manavalakurichi,IN,8.1333,77.3,83.84,54,33,12.73,scattered clouds
268,Lianran,CN,24.9227,102.485,63.14,40,50,7.05,scattered clouds
269,Meulaboh,ID,4.1363,96.1285,83.23,67,37,4.5,scattered clouds
270,Handan,CN,36.6006,114.4678,63.27,35,40,5.28,scattered clouds
271,Bereda,ES,43.2686,-7.5406,54.41,100,100,9.46,overcast clouds
272,Mazatlan,MX,23.2167,-106.4167,72.01,72,36,4.0,scattered clouds
273,Chumikan,RU,54.7183,135.315,12.61,71,20,24.65,few clouds
274,Vao,NC,-22.6667,167.4833,77.49,70,41,6.42,scattered clouds
275,Maiduguri,NG,11.8464,13.1603,65.16,41,3,6.51,clear sky
276,Riyadh,SA,24.6877,46.7219,51.94,21,0,0.67,clear sky
277,Sambava,MG,-14.2667,50.1667,76.82,77,98,7.09,overcast clouds
278,Marigot,MF,18.0667,-63.0833,80.38,78,20,16.11,few clouds
279,Tigil,RU,57.8,158.6667,27.25,79,100,27.25,overcast clouds
280,Pingliang,CN,35.5392,106.6861,47.59,63,100,6.31,overcast clouds
281,Brae,GB,60.3964,-1.353,47.14,84,100,29.73,light rain
282,Kalmunai,LK,7.4167,81.8167,82.35,71,93,2.53,overcast clouds
283,Alofi,NU,-19.0595,-169.9187,80.49,65,10,10.36,clear sky
284,Constitucion,CL,-35.3333,-72.4167,60.4,70,16,12.08,few clouds
285,Chokurdakh,RU,70.6333,147.9167,-26.66,99,98,3.91,overcast clouds
286,Valdosta,US,30.8327,-83.2785,58.98,82,40,4.61,scattered clouds
287,Ugoofaaru,MV,5.6667,73.0,81.37,72,34,11.9,scattered clouds
288,Marawi,PH,7.9986,124.2928,78.73,79,98,5.5,overcast clouds
289,Santa Rosa,PH,14.3122,121.1114,91.38,71,100,10.2,overcast clouds
290,Imbituba,BR,-28.24,-48.6703,68.34,96,49,5.17,scattered clouds
291,San Patricio,US,28.017,-97.5169,53.92,88,98,5.08,overcast clouds
292,Ketchikan,US,55.3422,-131.6461,45.07,87,100,3.44,light rain
293,Rudraprayag,IN,30.2833,78.9833,73.99,21,0,0.81,clear sky
294,Elk City,US,35.412,-99.4043,42.78,93,0,9.22,clear sky
295,Bambous Virieux,MU,-20.3428,57.7575,82.22,61,20,3.44,smoke
296,Pemba,MZ,-12.974,40.5178,79.5,88,40,5.99,scattered clouds
297,Cockburn Town,TC,21.4612,-71.1419,81.25,69,21,22.28,few clouds
298,High Level,CA,58.5169,-117.136,33.91,75,20,4.61,few clouds
299,Buchanan,LR,5.8808,-10.0467,75.96,89,22,4.52,light rain
300,Vila Velha,BR,-20.3297,-40.2925,71.94,95,75,4.61,broken clouds
301,Rovaniemi,FI,66.5,25.7167,17.01,92,100,5.75,overcast clouds
302,Skjervoy,NO,70.0311,20.9714,19.4,51,74,12.55,broken clouds
303,Panguna,PG,-6.3164,155.4848,79.63,65,40,2.15,light rain
304,Aripuana,BR,-9.1667,-60.6333,71.67,94,100,1.86,overcast clouds
305,Ulagan,RU,50.6321,87.9563,25.79,64,100,9.93,overcast clouds
306,Portsmouth,GB,50.799,-1.0913,52.97,88,65,11.01,broken clouds
307,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.24,89,100,14.7,overcast clouds
308,Kihei,US,20.785,-156.4656,77.02,77,20,14.97,few clouds
309,Ostrovnoy,RU,68.0531,39.5131,35.26,79,97,7.83,overcast clouds
310,Adrar,MR,20.5022,-10.0711,57.54,19,0,10.45,clear sky
311,Devonport,AU,-41.1667,146.35,68.09,39,32,12.97,scattered clouds
312,Maceio,BR,-9.6658,-35.7353,72.84,94,40,2.3,scattered clouds
313,Belle Fourche,US,44.6714,-103.8522,42.31,42,27,6.2,scattered clouds
314,Upata,VE,8.0086,-62.3989,73.18,98,16,2.64,few clouds
315,Sawakin,SD,19.1059,37.3321,82.04,67,12,6.04,few clouds
316,Hami,CN,42.8,93.45,42.51,27,100,6.4,overcast clouds
317,Tosya,TR,41.0155,34.0401,44.1,65,48,3.0,scattered clouds
318,Hakkari,TR,37.5833,44.1667,40.12,46,55,1.95,broken clouds
319,Murgab,TM,37.4966,61.9714,48.07,53,0,4.61,clear sky
320,Kurchum,KZ,48.5722,83.6542,23.61,79,100,13.24,overcast clouds
321,Beringovskiy,RU,63.05,179.3167,-7.98,96,41,9.01,scattered clouds
322,Quatre Cocos,MU,-20.2078,57.7625,82.09,70,12,9.31,few clouds
323,Talaya,RU,61.3833,152.75,-9.89,99,100,5.7,light snow
324,Bethel,US,41.3712,-73.414,43.16,64,0,0.0,clear sky
325,Pacific Grove,US,36.6177,-121.9166,57.54,81,70,4.0,broken clouds
326,Inndyr,NO,67.0338,14.0276,32.77,65,46,14.29,scattered clouds
327,Saurimo,AO,-9.6608,20.3916,64.53,97,82,2.1,broken clouds
328,Beitbridge,ZW,-22.2167,30.0,77.34,48,26,15.61,scattered clouds
329,Demyansk,RU,57.643,32.466,27.61,96,100,5.97,light snow
330,Flinders,AU,-34.5833,150.8552,79.05,49,7,13.0,clear sky
331,Pombal,BR,-6.7703,-37.8017,77.95,68,6,12.37,clear sky
332,Husavik,IS,66.0449,-17.3389,35.87,76,40,21.09,scattered clouds
